Additional Sources ,Count 
"CHARTER TRUST COMPANY Concord, NH",
"HARVEST CAPITAL MANAGEMENT INC Concord, NH",
"HEMENWAY TRUST COMPANY LLC Salem, NH",
"J. BRADFORD INVESTMENT MANAGEMENT Nashua, NH",
"PERSPECTA TRUST LLC Hampton, NH",
NEW JERSEY FAMILY OFFICES,
"BITMORE CAPITAL ADVISORS LLC Princeton, NJ",
"BRAVE ASSET MANAGEMENT INC Summit, NJ & Tiverton, RI",
BROADRIDGE FINANCIAL SOLUTIONS INC Marlton. NJ,
"COPPER BEACH Moorestown, NJ",
"DAY PITNEY LLP  Parsippany, NJ",
"DESIMONE GROUP INVESTMENTS LLC Cherry Hill, NJ",
"DORFMAN MIZRACH & THALER LLP Iselin, NJ & New York, NY",
"FFO LLC Nutley, NJ",
"HEALEY DEVELOPMENT LLC Morristown, NJ",
"LASSUS WHERLEY New Providence, NJ",
"MASSEY QUICK SIMON & CO. LLC Morristown, NJ & Chattanooga, TN & Los Angeles, CA & New York, NY",
"ROUND TABLE WEALTH MANAGEMENT Westfield, NJ",
"TRADITION CAPITAL ASSET MANAGEMENT LLC Summit, NJ",
"UNTRACHT EARLY LLC Florham Park, NJ",
"WILKIN & GLUTTENPLAN P.C. East Brunswick, NJ",
NEW MEXICO FAMILY OFFICES,
"EMPIRE TRUST INC Albuquerque, NM",
"HERITAGE TRUST Albuquerque, NM & Sante Fe, NM & Taos, NM",
"WOMACK WEALTH MANAGEMENT INC Albuquerque, NM & Beverly Hills, CA & Manhattan Beach, CA",
NEW YORK FAMILY OFFICES,
"ATLAS FAMILY OFFICE New York, NY",
"AYCO FAMILY OFFICE Cohoes, NY & NYC, NY & Saratoga, NY & San Francisco, CA & West Palm Beach, FL & Chicago, IL & Dallas, TX",
"BBR PARTNERS New York, NY",
"BESSEMER TRUST COMPANY New York, NY",
"BNY MELLON WEALTH MANAGEMENT New York, NY",
"CENTRAL FAMILY ADVISORS New York, NY",
"CITI PRIVATE BANK New York, NY",
"CLARFELD FINANCIAL ADVISORS LLC Tarrytown, NY",
